season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,278,"Brown (Green Bay), WI - Oconto, WI","Brown, Door, Kewaunee, Oconto",Wisconsin,3/16/2024,3.76
2023-2024,279,"Champaign (Champaign), IL - Coles, IL","Champaign, Coles, Cumberland, Douglas, Ford",Illinois,2/17/2024,2.6
2023-2024,280,"Milwaukee (Milwaukee), WI - Waukesha, WI","Milwaukee, Ozaukee, Washington, Waukesha",Wisconsin,12/30/2023,5
2023-2024,282,"Marathon (Wausau), WI - Wood, WI","Clark, Lincoln, Marathon, Taylor, Wood",Wisconsin,2/17/2024,5.85
2023-2024,284,"Gogebic, MI - Ontonagon, MI","Gogebic, Ontonagon",Michigan,1/27/2024,5.49
2023-2024,285,"Ingham (Lansing), MI - Eaton, MI","Clinton, Eaton, Ingham, Shiawassee",Michigan,3/2/2024,3.3
2023-2024,286,"Ramsey (St. Paul), MN - Dakota, MN","Chisago, Dakota, Ramsey, Washington",Minnesota,2/10/2024,3.91
2023-2024,287,"Cook (Chicago), IL - DuPage, IL","Cook, DuPage, Lake, McHenry",Illinois,12/30/2023,5.44
2023-2024,289,"St. Louis (Duluth), MN - Itasca, MN","Carlton, Cook, Itasca, Koochiching, Lake, Pine, St. Louis",Minnesota,3/2/2024,4.76
2023-2024,29,"Warren, KY - Logan, KY","Allen, Butler, Edmonson, Logan, Simpson, Warren",Kentucky,12/30/2023,9.69
2023-2024,291,"Winnebago (Rockford), IL - Ogle, IL","Boone, Lee, Ogle, Winnebago",Illinois,12/30/2023,6.66
2023-2024,293,"Marquette, MI - Delta, MI","Alger, Delta, Luce, Marquette, Schoolcraft",Michigan,3/2/2024,4.15
2023-2024,294,"Chippewa, MI - Emmet, MI","Charlevoix, Cheboygan, Chippewa, Emmet, Mackinac",Michigan,2/10/2024,6.27
2023-2024,296,"Muskegon (Muskegon), MI - Newaygo, MI","Mason, Muskegon, Newaygo, Oceana",Michigan,2/24/2024,5.86
2023-2024,297,"St. Clair (Port Huron), MI - Sanilac, MI","Sanilac, St. Clair",Michigan,3/2/2024,7.22
2023-2024,298,"Eau Claire (Eau Claire), WI - Chippewa, WI","Buffalo, Chippewa, Dunn, Eau Claire, Pepin",Wisconsin,2/10/2024,4.91
2023-2024,299,"Madison (Alton), IL - Jersey, IL","Bond, Calhoun, Jersey, Madison",Illinois,2/24/2024,5.37
2023-2024,3,"Sussex, DE - Kent, DE","Kent, Sussex",Delaware,12/30/2023,6.52
2023-2024,30,"Alleghany Cnty & Clifton Forge Cty, VA - Covington City, VA","Alleghany Cnty and Clifton Forge Cty, Bath, Covington City",Virginia,12/30/2023,15.08
2023-2024,300,"Tippecanoe (Lafayette), IN - Clinton, IN","Benton, Carroll, Clinton, Tippecanoe, White",Indiana,2/10/2024,6.84
2023-2024,301,"Dane (Madison), WI - Sauk, WI","Columbia, Dane, Grant, Iowa, Marquette, Richland, Sauk",Wisconsin,12/23/2023,3.07
2023-2024,302,"Stephenson, IL - Jo Daviess, IL","Jo Daviess, Stephenson",Illinois,1/27/2024,6.76
2023-2024,303,"Will (Joliet), IL - Grundy, IL","Grundy, Will",Illinois,12/30/2023,5.61
2023-2024,304,"Allen (Fort Wayne), IN - Noble, IN","Allen, De Kalb, LaGrange, Noble, Steuben, Whitley",Indiana,3/2/2024,4.91
2023-2024,305,"Macon (Decatur), IL - Shelby, IL","Macon, Moultrie, Piatt, Shelby",Illinois,12/9/2023,4.95
2023-2024,306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","Dodge, Fond du Lac, Green Lake, Waushara, Winnebago",Wisconsin,3/2/2024,4.79
2023-2024,307,"Rock Island (Moline), IL - Henry, IL","Henry, Mercer, Rock Island, Stark",Illinois,3/2/2024,6.21
2023-2024,308,"Lake (Gary), IN - Porter, IN","Jasper, Lake, Newton, Porter",Indiana,12/30/2023,7.58
2023-2024,309,"Kent (Grand Rapids), MI - Ionia, MI","Gratiot, Ionia, Kent, Mecosta, Montcalm",Michigan,2/24/2024,4.54
2023-2024,31,"Monongalia, WV - Marion, WV","Marion, Monongalia, Preston, Taylor",West Virginia,12/30/2023,6.57
2023-2024,310,"Crawford, IL - Lawrence, IL","Crawford, Lawrence",Illinois,2/24/2024,9.67
2023-2024,312,"St. Joseph (South Bend), IN - Marshall, IN","Fulton, Marshall, Pulaski, St. Joseph",Indiana,2/24/2024,6
2023-2024,313,"Bartholomew, IN - Jackson, IN","Bartholomew, Decatur, Jackson, Jennings",Indiana,12/30/2023,7.72
2023-2024,314,"Washburn, WI - Burnett, WI","Burnett, Washburn",Wisconsin,12/30/2023,8.55
2023-2024,315,"Dickinson, MI - Menominee, MI","Dickinson, Iron, Menominee",Michigan,2/10/2024,8.92
2023-2024,316,"Perry, IN",Perry,Indiana,2/10/2024,6.29
2023-2024,317,"Wexford, MI - Osceola, MI","Lake, Missaukee, Osceola, Wexford",Michigan,2/24/2024,8.63
2023-2024,318,"Sangamon (Springfield), IL - Christian, IL","Brown, Cass, Christian, Logan, McDonough, Menard, Sangamon, Schuyler",Illinois,3/2/2024,3.59
2023-2024,319,"Morgan, IL - Greene, IL","Greene, Morgan, Scott",Illinois,2/17/2024,5.11
2023-2024,32,"Hampden (Springfield), MA - Hampshire, MA","Hampden, Hampshire",Massachusetts,12/30/2023,5.7
2023-2024,320,"Ottawa (Holland), MI - Allegan, MI","Allegan, Ottawa",Michigan,2/24/2024,6.78
2023-2024,321,"Dearborn, IN - Jefferson (Madison), IN","Dearborn, Jefferson, Ohio, Ripley, Switzerland",Indiana,2/17/2024,5.74
2023-2024,322,"Saginaw (Saginaw), MI - Tuscola, MI","Huron, Saginaw, Tuscola",Michigan,3/2/2024,7.43
2023-2024,323,"Delaware (Muncie), IN - Randolph, IN","Blackford, Delaware, Randolph",Indiana,2/24/2024,12.36
2023-2024,324,"Knox, IL - Warren, IL","Knox, Warren",Illinois,3/2/2024,4.46
2023-2024,325,"St. Clair (Belleville), IL - Clinton, IL","Clinton, Monroe, Randolph, St. Clair",Illinois,2/17/2024,4.28
2023-2024,326,"Rock (Janesville), WI - Green, WI","Green, Lafayette, Rock",Wisconsin,2/24/2024,4.54
2023-2024,327,"Berrien (Benton Harbor), MI - Van Buren, MI","Berrien, Cass, Van Buren",Michigan,2/24/2024,3.69
2023-2024,328,"Genesee (Flint), MI - Lapeer, MI","Genesee, Lapeer",Michigan,3/2/2024,5.69
2023-2024,33,"Henrico (Richmond), VA - Chesterfield, VA","Amelia, Charles City, Charlotte, Chesterfield, Colonial Heights City, Cumberland, Essex, Goochland, Hanover, Henrico, King William, King and Queen, Lancaster, Middlesex, New Kent, Northumberland, Nottoway, Powhatan, Prince Edward, Richmond, Richmond City, Westmoreland",Virginia,12/30/2023,6.11
2023-2024,330,"Midland (Midland), MI - Isabella, MI","Clare, Gladwin, Isabella, Midland",Michigan,3/2/2024,6.49
2023-2024,331,"Williamson, IL - Jackson, IL","Franklin, Jackson, Perry, Williamson",Illinois,12/30/2023,4.7
2023-2024,332,"Huntington, IN - Adams, IN","Adams, Huntington, Jay, Wells",Indiana,2/24/2024,4.27
2023-2024,333,"Vermilion, IL - Edgar, IL","Edgar, Vermilion",Illinois,3/9/2024,4.72
2023-2024,334,"Macoupin, IL - Montgomery, IL","Macoupin, Montgomery",Illinois,2/24/2024,4.02
2023-2024,335,"Jefferson, IL - Wayne, IL","Jefferson, Wayne",Illinois,2/17/2024,3.71
2023-2024,336,"La Salle, IL - Livingston, IL","Bureau, La Salle, Livingston, Putnam",Illinois,12/30/2023,5.14
2023-2024,338,"McLean (Bloomington), IL - Woodford, IL","De Witt, McLean, Woodford",Illinois,12/30/2023,4.44
2023-2024,339,"Floyd (New Albany), IN - Harrison, IN","Crawford, Floyd, Harrison, Washington",Indiana,2/3/2024,6.59
2023-2024,341,"Monroe (Bloomington), IN - Greene, IN","Brown, Greene, Monroe, Owen",Indiana,2/17/2024,3.13
2023-2024,342,"Bay (Bay City), MI - Iosco, MI","Arenac, Bay, Iosco, Ogemaw, Oscoda",Michigan,3/2/2024,5.65
2023-2024,343,"Kankakee (Kankakee), IL - Iroquois, IL","Iroquois, Kankakee",Illinois,12/30/2023,6.55
2023-2024,344,"Outagamie (Appleton), WI - Waupaca, WI","Outagamie, Waupaca",Wisconsin,2/24/2024,5.12
2023-2024,348,"Kalamazoo (Kalamazoo), MI - St. Joseph, MI","Kalamazoo, St. Joseph",Michigan,2/17/2024,4.79
2023-2024,349,"Elkhart (Elkhart), IN - Kosciusko, IN","Elkhart, Kosciusko",Indiana,2/24/2024,5.96
2023-2024,35,"Cattaraugus, NY - Allegany, NY","Allegany, Cattaraugus",New York,12/30/2023,5.68
2023-2024,350,"Clayton, IA - Delaware, IA","Clayton, Delaware",Iowa,3/2/2024,7.3
2023-2024,351,"Richland, IL - Clay, IL","Clay, Edwards, Jasper, Richland",Illinois,1/27/2024,5.98
2023-2024,353,"Adams, IL - Pike, IL","Adams, Pike",Illinois,3/9/2024,4.09
2023-2024,355,"Sheboygan (Sheboygan), WI - Manitowoc, WI","Calumet, Manitowoc, Sheboygan",Wisconsin,3/16/2024,2.45
2023-2024,357,"Ashland, WI - Sawyer, WI","Ashland, Bayfield, Price, Sawyer",Wisconsin,2/3/2024,7.18
2023-2024,358,"Marion, IL - Washington, IL","Marion, Washington",Illinois,2/10/2024,4.43
2023-2024,359,"Houghton, MI - Baraga, MI","Baraga, Houghton, Keweenaw",Michigan,2/24/2024,3.22
2023-2024,36,"Bergen, NJ - Hudson (Jersey City), NJ","Bergen, Hudson, Passaic",New Jersey,12/30/2023,6.01
2023-2024,361,"Whiteside, IL - Carroll, IL","Carroll, Whiteside",Illinois,12/30/2023,7.44
2023-2024,362,"Hancock, IN - Henry (New Castle), IN","Hancock, Henry",Indiana,2/17/2024,6.07
2023-2024,363,"Effingham, IL - Fayette, IL","Effingham, Fayette",Illinois,2/10/2024,6.66
2023-2024,364,"Howard (Kokomo), IN - Cass, IN","Cass, Howard, Tipton",Indiana,2/10/2024,6.55
2023-2024,365,"Clark (Jeffersonville), IN - Scott, IN","Clark, Scott",Indiana,1/13/2024,4
2023-2024,367,"Hancock, IL",Hancock,Illinois,3/2/2024,5.17
2023-2024,37,"Pulaski, KY - Wayne, KY","McCreary, Pulaski, Wayne",Kentucky,1/13/2024,5.55
2023-2024,370,"Goodhue, MN",Goodhue,Minnesota,1/13/2024,5.54
2023-2024,373,"Kane (Aurora), IL - DeKalb, IL","DeKalb, Kane, Kendall",Illinois,12/30/2023,6.23
2023-2024,374,"Barron, WI - Rusk, WI","Barron, Rusk",Wisconsin,1/27/2024,9.43
2023-2024,375,"Jackson (Jackson), MI - Lenawee, MI","Branch, Hillsdale, Jackson, Lenawee",Michigan,3/2/2024,8.63
2023-2024,378,"La Porte, IN - Starke, IN","La Porte, Starke",Indiana,3/9/2024,7.04
2023-2024,379,"Shawano, WI - Langlade, WI","Langlade, Menominee, Shawano",Wisconsin,2/17/2024,3.8
2023-2024,38,"Kennebec, ME - Somerset, ME","Kennebec, Somerset, Waldo",Maine,2/10/2024,5.14
2023-2024,381,"Calhoun (Battle Creek), MI - Barry, MI","Barry, Calhoun",Michigan,3/2/2024,7.89
2023-2024,382,"Racine (Racine), WI - Kenosha, WI","Kenosha, Racine",Wisconsin,12/30/2023,5.33
2023-2024,383,"White, IL - Hamilton, IL","Hamilton, White",Illinois,2/17/2024,7.34
2023-2024,384,"Saline, IL - Gallatin, IL","Gallatin, Hardin, Pope, Saline",Illinois,12/30/2023,7.99
2023-2024,385,"Wayne, IN - Fayette, IN","Fayette, Union, Wayne",Indiana,3/2/2024,4.26
2023-2024,387,"Walworth, WI - Jefferson, WI","Jefferson, Walworth",Wisconsin,12/30/2023,5.66
2023-2024,389,"Grant, IN - Miami, IN","Grant, Miami, Wabash",Indiana,12/30/2023,7.72
2023-2024,39,"Tazewell, VA - Buchanan, VA","Bland, Buchanan, Tazewell",Virginia,3/2/2024,7.66
2023-2024,390,"Hamilton, IN - Madison (Anderson), IN","Hamilton, Madison",Indiana,2/10/2024,6.47
