season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,350,"Clayton, IA - Delaware, IA","Clayton, Delaware",Iowa,1/6/2024,2.88
2023-2024,351,"Richland, IL - Clay, IL","Clay, Edwards, Jasper, Richland",Illinois,12/23/2023,3.24
2023-2024,353,"Adams, IL - Pike, IL","Adams, Pike",Illinois,12/30/2023,1.46
2023-2024,355,"Sheboygan (Sheboygan), WI - Manitowoc, WI","Calumet, Manitowoc, Sheboygan",Wisconsin,1/20/2024,2.02
2023-2024,357,"Ashland, WI - Sawyer, WI","Ashland, Bayfield, Price, Sawyer",Wisconsin,2/3/2024,2.69
2023-2024,358,"Marion, IL - Washington, IL","Marion, Washington",Illinois,12/30/2023,4.31
2023-2024,359,"Houghton, MI - Baraga, MI","Baraga, Houghton, Keweenaw",Michigan,1/13/2024,1.34
2023-2024,36,"Bergen, NJ - Hudson (Jersey City), NJ","Bergen, Hudson, Passaic",New Jersey,11/18/2023,0.99
2023-2024,361,"Whiteside, IL - Carroll, IL","Carroll, Whiteside",Illinois,12/30/2023,3.63
2023-2024,362,"Hancock, IN - Henry (New Castle), IN","Hancock, Henry",Indiana,1/13/2024,2.14
2023-2024,363,"Effingham, IL - Fayette, IL","Effingham, Fayette",Illinois,1/6/2024,3.61
2023-2024,364,"Howard (Kokomo), IN - Cass, IN","Cass, Howard, Tipton",Indiana,12/2/2023,1.74
2023-2024,365,"Clark (Jeffersonville), IN - Scott, IN","Clark, Scott",Indiana,12/2/2023,0.94
2023-2024,367,"Hancock, IL",Hancock,Illinois,1/20/2024,2.97
2023-2024,37,"Pulaski, KY - Wayne, KY","McCreary, Pulaski, Wayne",Kentucky,12/23/2023,2.84
2023-2024,370,"Goodhue, MN",Goodhue,Minnesota,1/20/2024,3.79
2023-2024,373,"Kane (Aurora), IL - DeKalb, IL","DeKalb, Kane, Kendall",Illinois,12/9/2023,1.87
2023-2024,374,"Barron, WI - Rusk, WI","Barron, Rusk",Wisconsin,2/24/2024,2.87
2023-2024,375,"Jackson (Jackson), MI - Lenawee, MI","Branch, Hillsdale, Jackson, Lenawee",Michigan,1/6/2024,1.47
2023-2024,378,"La Porte, IN - Starke, IN","La Porte, Starke",Indiana,11/25/2023,1.55
2023-2024,379,"Shawano, WI - Langlade, WI","Langlade, Menominee, Shawano",Wisconsin,2/24/2024,2.99
2023-2024,38,"Kennebec, ME - Somerset, ME","Kennebec, Somerset, Waldo",Maine,12/30/2023,2.05
2023-2024,381,"Calhoun (Battle Creek), MI - Barry, MI","Barry, Calhoun",Michigan,1/6/2024,2.56
